epoch,error,accuracy
10,0.3924022978556225,0.25
20,0.37297491553627576,0.5
30,0.3639877995856544,0.5
40,0.3550728644218332,0.5
50,0.3433628560506708,0.5
60,0.32842983123681035,0.5
70,0.3118111221658062,0.5
80,0.2962490956935911,0.5
90,0.2838481739485832,0.5
100,0.27497856105819574,0.5
110,0.2688830894418761,0.5
120,0.26465882945424757,0.5
130,0.261618953808063,0.5
140,0.2593093461384712,0.5
150,0.2574664840512295,0.5
160,0.25591688576406163,0.5
170,0.25454812926557635,0.5
180,0.25328966644270245,0.5
190,0.2520632298169758,0.5
200,0.25085112525961817,0.5
210,0.24961987835358268,0.5
220,0.24835172867725913,0.5
230,0.24703988405226357,0.5
240,0.2456819372943147,0.5
250,0.24428825664488907,0.75
260,0.24287157335277765,0.75
270,0.24144458571914218,0.75
280,0.24002794078446618,0.75
290,0.238632782077509,0.75
300,0.23727059628468555,0.75
310,0.23592824978832522,0.75
320,0.23462401222837145,0.75
330,0.2333497697928486,0.75
340,0.23208987565668887,0.75
350,0.23084969613073725,0.75
360,0.2296113825051579,0.75
370,0.22837124608022774,0.75
380,0.2271261598611986,0.75
390,0.22586104880544364,0.75
400,0.22458348061066793,1.0
410,0.223290463401152,1.0
420,0.2219912492748901,1.0
430,0.220677425394036,1.0
440,0.21935792396850315,1.0
450,0.21803363880766585,1.0
460,0.2167046736650649,1.0
470,0.21538389794784193,1.0
480,0.21407258387050457,1.0
490,0.2127726107711024,1.0
500,0.21149660083410046,1.0
510,0.210245151762663,1.0
520,0.2090229556255779,1.0
530,0.2078350389491492,1.0
540,0.20668802156580718,1.0
550,0.20558098486865484,1.0
560,0.2045180778328032,1.0
570,0.20350193371424433,0.75
580,0.2025387595934113,0.75
590,0.20162247951363338,0.75
600,0.20075202002207265,0.75
610,0.199928146351383,0.75
620,0.19915507567417756,0.75
630,0.1984200466119868,0.75
640,0.19773070012091426,0.75
650,0.19706997070468196,0.75
660,0.19644661602146438,0.75
670,0.19584943723468254,0.75
680,0.19528230623265425,0.75
690,0.19473979238812786,0.75
700,0.1942245440542498,0.75
710,0.193730519532268,0.75
720,0.19324971639359723,0.75
730,0.19278844397441203,0.75
740,0.1923444467663947,0.75
750,0.19191396126697174,0.75
760,0.19149853799306413,0.75
770,0.19109471607494805,0.75
780,0.19069542982441084,0.75
790,0.19030542147171986,0.75
800,0.189929095314007,0.75
810,0.18955863269193127,0.75
820,0.1891917021162466,0.75
830,0.188832718836017,0.75
840,0.1884796378734637,0.75
850,0.18813488997155792,0.75
860,0.18778888974001934,0.75
870,0.1874354794289023,0.75
880,0.18708646024344677,0.75
890,0.1867436471848118,0.75
900,0.18640334758018726,0.75
910,0.1860518786470936,0.75
920,0.18569297201428628,0.75
930,0.18533128120615064,0.75
940,0.18496410062860322,0.75
950,0.1845807011627073,0.75
960,0.18418534467891953,0.75
970,0.1837718253270196,0.75
980,0.18333980264167804,0.75
990,0.18288103104069894,0.75
1000,0.1823878472570019,0.75
1010,0.18185335864044969,0.75
1020,0.18127255465296763,0.75
1030,0.1806416453229862,0.75
1040,0.17994917256729773,0.75
1050,0.17917903798556037,0.75
1060,0.17832972278248332,0.75
1070,0.17741059337010773,0.75
1080,0.17641044727561558,0.75
1090,0.17534700674081607,0.75
1100,0.17423391146435163,0.75
1110,0.17311547382043435,0.75
1120,0.17202800649773906,0.75
1130,0.17102200685087857,0.75
1140,0.1701325854889413,0.75
1150,0.16937572092336312,0.75
1160,0.16874727929847,0.75
1170,0.1682282779706365,0.75
1180,0.16779611173779158,0.75
1190,0.16742572309041892,0.75
1200,0.1671032480825101,0.75
1210,0.16681444890220973,0.75
1220,0.16655107842966424,0.75
1230,0.1663081166307584,0.75
1240,0.16608031082346336,0.75
1250,0.1658649002949063,0.75
1260,0.16565943086891438,0.75
1270,0.16546073870216066,0.75
1280,0.16526899766331976,0.75
1290,0.1650828402759769,0.75
1300,0.16490138503087104,0.75
1310,0.16472429796604504,0.75
1320,0.16455119611827407,0.75
1330,0.16438180517310705,0.75
1340,0.16421562110276777,0.75
1350,0.16405233875782785,0.75
1360,0.16389197006007822,0.75
1370,0.1637343913037328,0.75
1380,0.1635791972748921,0.75
1390,0.1634264790322367,0.75
1400,0.16327616711640597,0.75
1410,0.16312790248609868,0.75
1420,0.16298196084184402,0.75
1430,0.16283809219002113,0.75
1440,0.16269620729849982,0.75
1450,0.1625562446854672,0.75
1460,0.16241816953839247,0.75
1470,0.1622819132164372,0.75
1480,0.16214746092054597,0.75
1490,0.1620147886186851,0.75
1500,0.16188378588242136,0.75
1510,0.16175443562549247,0.75
1520,0.1616267510551299,0.75
1530,0.16150060544465553,0.75
1540,0.16137599596358482,0.75
1550,0.16125292407315747,0.75
1560,0.16113130970468514,0.75
1570,0.16101117856323077,1.0
1580,0.16089244670161434,0.75
1590,0.1607751420557755,0.75
1600,0.16065916875733569,0.75
1610,0.16054447223474763,0.75
1620,0.1604311497037036,0.75
1630,0.16031905768406624,0.75
1640,0.16020824277092516,0.75
1650,0.16009865101428208,0.75
1660,0.1599902809120948,0.75
1670,0.15988308579578392,0.75
1680,0.15977705540667297,0.75
1690,0.1596721567288421,0.75
1700,0.15956837414037303,0.75
1710,0.1594656963208505,0.75
1720,0.15936410418215086,0.75
1730,0.15926355507577128,0.75
1740,0.15916405565479189,0.75
1750,0.15906557781120914,0.75
1760,0.15896811119797963,0.75
1770,0.15887162783029724,0.75
1780,0.15877611021521545,0.75
1790,0.1586815604837225,0.75
1800,0.15858794345366564,0.75
1810,0.15849524626719155,0.75
1820,0.1584034561259491,0.75
1830,0.1583125576984516,0.75
1840,0.15822253892613042,0.75
1850,0.1581333864929924,0.75
1860,0.15804506385505518,0.75
1870,0.15795758432109955,0.75
1880,0.15787092206319656,0.75
1890,0.15778505771187232,0.75
1900,0.15769998426235002,0.75
1910,0.15761570406593386,0.75
1920,0.15753218703223223,0.75
1930,0.15744942499739337,0.75
1940,0.15736741732603976,0.75
1950,0.15728615318803235,0.75
1960,0.157205608279405,0.75
1970,0.15712578209643552,0.75
1980,0.15704665758587805,0.75
1990,0.15696821576284545,0.75
2000,0.1568904535452464,0.75
2010,0.15681334062891014,0.75
2020,0.15673690853666186,0.75
2030,0.15666112737775434,0.75
2040,0.1565859772925688,0.75
2050,0.15651145705115657,0.75
2060,0.1564375664352808,0.75
2070,0.1563642965544967,0.75
2080,0.15629162647277337,0.75
2090,0.15621957130315925,0.75
2100,0.15614807485869103,0.75
2110,0.156077171808061,0.75
2120,0.15600682800281723,0.75
2130,0.15593706475040658,0.75
2140,0.15586786122231996,0.75
2150,0.15579920626556212,0.75
2160,0.15573108314385406,0.75
2170,0.1556635161288294,0.75
2180,0.15559644520059832,0.75
2190,0.15552991434888977,0.75
2200,0.1554638865175705,0.75
2210,0.1553983692750286,0.75
2220,0.15533335705191756,0.75
2230,0.15526883431658814,0.75
2240,0.15520480133991754,0.75
2250,0.1551412502924945,0.75
2260,0.1550781759511889,0.75
2270,0.155015578457609,0.75
2280,0.15495340826046536,0.75
2290,0.15489171875704247,0.75
2300,0.15483047346353324,0.75
2310,0.15476970525632208,0.75
2320,0.15470933580727672,0.75
2330,0.15464941349134198,0.75
2340,0.15458992099864524,0.75
2350,0.1545308504384635,0.75
2360,0.15447219558431496,0.75
2370,0.15441395235224925,0.75
2380,0.15435612442112678,0.75
2390,0.1542986979408421,0.75
2400,0.15424166887317772,0.75
2410,0.1541850343295489,0.75
2420,0.15412878558366866,0.75
2430,0.15407292371358525,0.75
2440,0.15401744491129626,0.75
2450,0.15396234841249695,0.75
2460,0.15390761483204565,0.75
2470,0.15385325392365384,0.75
2480,0.1537992708554739,0.75
2490,0.15374562429690297,0.75
2500,0.15369233585000144,0.75
2510,0.15363939950598424,0.75
2520,0.15358682030704204,0.75
2530,0.15353457687832556,0.75
2540,0.15348266680199185,0.75
2550,0.15343108658299404,0.75
2560,0.15337984377714126,0.75
2570,0.15332891578442678,0.75
2580,0.15327832270304778,0.75
2590,0.15322804505606352,0.75
2600,0.15317809490016746,0.75
2610,0.15312845132348538,0.75
2620,0.15307911920654244,0.75
2630,0.15303009674830698,0.75
2640,0.1529813779344742,0.75
2650,0.15293296654419325,0.75
2660,0.15288484031852423,0.75
2670,0.1528370060396872,0.75
2680,0.15278946541949076,0.75
2690,0.15274222196011014,0.75
2700,0.1526952618639296,0.75
2710,0.15264858300706693,0.75
2720,0.1526021815311628,0.75
2730,0.15255607384460843,0.75
2740,0.1525102304272752,0.75
2750,0.15246462590823626,0.75
2760,0.1524193123492864,0.75
2770,0.15237426532624093,0.75
2780,0.15232949030716103,0.75
2790,0.15228497198594337,0.75
2800,0.15224071412390175,0.75
2810,0.15219670959755893,0.75
2820,0.15215295964525516,0.75
2830,0.15210946642354006,0.75
2840,0.15206621685812838,0.75
2850,0.1520231918398914,0.75
2860,0.15198041596389508,0.75
2870,0.15193789007744363,0.75
2880,0.15189559900479116,0.75
2890,0.15185354885001812,0.75
2900,0.15181174052940313,0.75
2910,0.15177014862952506,0.75
2920,0.15172877893986678,0.75
2930,0.15168766879492268,0.75
2940,0.1516467397670084,0.75
2950,0.15160603032062195,0.75
2960,0.15156556065475493,0.75
2970,0.15152531765502883,0.75
2980,0.1514852928428053,0.75
2990,0.15144548312325434,0.75
3000,0.15140589502011387,0.75
3010,0.15136649654838258,0.75
3020,0.1513273128923587,0.75
3030,0.15128832932717465,0.75
3040,0.1512495569187602,0.75
3050,0.1512109838043149,0.75
3060,0.15117262332424955,0.75
3070,0.15113446936545988,0.75
3080,0.1510964748734302,0.75
3090,0.15105870270549496,0.75
3100,0.1510211151300485,0.75
3110,0.15098372654617398,0.75
3120,0.15094652807456202,0.75
3130,0.1509095182684648,0.75
3140,0.15087269712873844,0.75
3150,0.150836064592564,0.75
3160,0.15079960670542783,0.75
3170,0.15076333848222373,0.75
3180,0.15072726418446364,0.75
3190,0.1506913537779071,0.75
3200,0.15065563103872812,0.75
3210,0.15062009293415474,0.75
3220,0.15058470337821522,0.75
3230,0.15054949636643902,0.75
3240,0.15051446239645982,0.75
3250,0.1504796067385712,0.75
3260,0.15044491946887362,0.75
3270,0.1504103801698216,0.75
3280,0.15037603645599135,0.75
3290,0.15034185773294792,0.75
3300,0.1503078164541178,0.75
3310,0.1502739394540716,0.75
3320,0.15024022375446344,0.75
3330,0.1502066815614353,0.75
3340,0.15017329719974642,0.75
3350,0.15014006736822813,0.75
3360,0.1501069971402047,0.75
3370,0.1500740743314419,0.75
3380,0.15004130397512344,0.75
3390,0.15000869034863615,0.75
3400,0.14997622156972484,0.75
3410,0.14994390767332275,0.75
3420,0.1499117506187962,0.75
3430,0.14987972901489868,0.75
3440,0.14984785278298712,0.75
3450,0.14981612926998839,0.75
3460,0.14978454853303547,0.75
3470,0.14975310800286937,0.75
3480,0.14972181479912286,0.75
3490,0.1496906657121607,0.75
3500,0.14965964356051853,0.75
3510,0.1496287512400442,0.75
3520,0.14959801222998487,0.75
3530,0.14956741526027548,0.75
3540,0.14953694744497972,0.75
3550,0.1495066155572886,0.75
3560,0.14947642026530503,0.75
3570,0.14944635177664956,0.75
3580,0.149416408072796,0.75
3590,0.14938660166804502,0.75
3600,0.14935692716346316,0.75
3610,0.14932737653250305,0.75
3620,0.14929795154401226,0.75
3630,0.14926865246214385,0.75
3640,0.1492394844781287,0.75
3650,0.1492104350532556,0.75
3660,0.1491815121980334,0.75
3670,0.1491527139333873,0.75
3680,0.14912404505024232,0.75
3690,0.14909547426051736,0.75
3700,0.1490670312255161,0.75
3710,0.14903871718093437,0.75
3720,0.1490105184464704,0.75
3730,0.14898243536952205,0.75
3740,0.14895447192937195,0.75
3750,0.14892662151359276,0.75
3760,0.14889888621275557,0.75
3770,0.14887125866059608,0.75
3780,0.14884374969327957,0.75
3790,0.14881634781877837,0.75
3800,0.1487890646274007,0.75
3810,0.1487618957224761,0.75
3820,0.148734831351074,0.75
3830,0.14870788145456246,0.75
3840,0.14868104345289493,0.75
3850,0.14865430019820608,0.75
3860,0.1486276698225573,0.75
3870,0.14860114848807232,0.75
3880,0.14857473448523478,0.75
3890,0.1485484249869115,0.75
3900,0.14852222496577616,0.75
3910,0.14849612671619863,0.75
3920,0.14847013405452053,0.75
3930,0.14844423218656114,0.75
3940,0.14841843481111341,0.75
3950,0.14839274746462977,0.75
3960,0.14836715147648383,0.75
3970,0.148341655257598,0.75
3980,0.14831625778252075,0.75
3990,0.14829095983122592,0.75
4000,0.1482657719935319,0.75
4010,0.1482406693829883,0.75
4020,0.14821566126390864,0.75
4030,0.1481907571564315,0.75
4040,0.148165931188346,0.75
4050,0.14814120982799364,0.75
4060,0.1481165792049566,0.75
4070,0.14809204073554577,0.75
4080,0.14806759112277984,0.75
4090,0.1480432374604117,0.75
4100,0.14801898440359,0.75
4110,0.14799481841072795,0.75
4120,0.1479707373662881,0.75
4130,0.1479467496948392,0.75
4140,0.14792284611565565,0.75
4150,0.1478990360231485,0.75
4160,0.14787531116778155,0.75
4170,0.1478516741803026,0.75
4180,0.14782812706074672,0.75
4190,0.14780465692542227,0.75
4200,0.14778128732647167,0.75
4210,0.14775800014015858,0.75
4220,0.14773478092234837,0.75
4230,0.14771165770705522,0.75
4240,0.14768861968931973,0.75
4250,0.14766567410576165,0.75
4260,0.1476427893110683,0.75
4270,0.14761999790176028,0.75
4280,0.14759728885058443,0.75
4290,0.14757466356947035,0.75
4300,0.14755210534680174,0.75
4310,0.14752964095389864,0.75
4320,0.14750724814407098,0.75
4330,0.14748495179335655,0.75
4340,0.14746272676721994,0.75
4350,0.14744055518644644,0.75
4360,0.14741847505494154,0.75
4370,0.1473964743234062,0.75
4380,0.1473745515112154,0.75
4390,0.14735269767885303,0.75
4400,0.14733092492408748,0.75
4410,0.1473092286329189,0.75
4420,0.14728760193296053,0.75
4430,0.14726605818981423,0.75
4440,0.14724458769630147,0.75
4450,0.14722319140371262,0.75
4460,0.14720186619130082,0.75
4470,0.14718061055585666,0.75
4480,0.14715943041402393,0.75
4490,0.14713832530548251,0.75
4500,0.14711728683016362,0.75
4510,0.14709632257901198,0.75
4520,0.14707542844452634,0.75
4530,0.14705459778345284,0.75
4540,0.1470338490430683,0.75
4550,0.1470131525174946,0.75
4560,0.14699253753228192,0.75
4570,0.14697199325378973,0.75
4580,0.1469515121619083,0.75
4590,0.14693109024818282,0.75
4600,0.14691074813848404,0.75
4610,0.14689046871967665,0.75
4620,0.1468702541941656,0.75
4630,0.14685010709474175,0.75
4640,0.14683002905257872,0.75
4650,0.14681001343343608,0.75
4660,0.14679006447704931,0.75
4670,0.14677018139064535,0.75
4680,0.1467503631699862,0.75
4690,0.14673060837805182,0.75
4700,0.14671091872112604,0.75
4710,0.1466912947529943,0.75
4720,0.14667173338531533,0.75
4730,0.14665223084224133,0.75
4740,0.1466327909622711,0.75
4750,0.14661341996843086,0.75
4760,0.14659410033505035,0.75
4770,0.14657484327940942,0.75
4780,0.1465556520916882,0.75
4790,0.14653652190769975,0.75
4800,0.14651744582494292,0.75
4810,0.14649842901410434,0.75
4820,0.14647947513759463,0.75
4830,0.14646057946423713,0.75
4840,0.1464417559186091,0.75
4850,0.1464229719661083,0.75
4860,0.1464042544022265,0.75
4870,0.14638559502826828,0.75
4880,0.14636699930809827,0.75
4890,0.14634845427250293,0.75
4900,0.14632996822437955,0.75
4910,0.14631153604368755,0.75
4920,0.1462931613214667,0.75
4930,0.14627483935088548,0.75
4940,0.14625657642265144,0.75
4950,0.14623836931479278,0.75
4960,0.1462202132914255,0.75
4970,0.1462021175304479,0.75
4980,0.1461840798783179,0.75
4990,0.14616609110996173,0.75
5000,0.14614815994300362,0.75
5010,0.14613028778054965,0.75
5020,0.14611247457158888,0.75
